cik,cusip6,cusip8
1013871.0,629377,62937710
819480.0,755246,75524610
21267.0,190441,19044185
812074.0,690768,69076840
1028122.0,92553N,92553N10
883241.0,871607,87160710
857323.0,400518,40051810
64394.0,582834,58283410
850436.0,58461U,58461U10
935703.0,256747,25674710
1013462.0,03662Q,03662Q10
1082506.0,71920Q,71920Q10
1038357.0,723787,72378710
1005015.0,141888,14188810
33213.0,294549,29454910
1022080.0,598148,59814810
96289.0,750438,75043810
1017906.0,832914,83291410
911002.0,540211,54021110
943003.0,008916,00891610
765258.0,45245W,45245W10
844965.0,88162F,88162F10
1047600.0,848935,84893520
918646.0,26969P,26969P10
1101239.0,29444U,29444U50
1202157.0,112723,11272310
800459.0,413086,41308610
727510.0,293904,29390410
886158.0,075896,07589610
1085392.0,745310,74531010
880266.0,001084,00108410
912593.0,866674,86667410
795266.0,48666K,48666K10
1113809.0,120076,12007610
878522.0,860370,86037010
1009356.0,795435,79543510
62996.0,574599,57459910
1066833.0,259858,25985810
1096343.0,570535,57053510
1012140.0,683399,68339910
709283.0,747906,74790620
921671.0,612238,612238
51548.0,460335,46033520
1032033.0,78442P,78442P10
96289.0,750459,75045910
794367.0,55616P,55616P10
52848.0,348366,348366
1330969.0,12498B,12498B30
1141391.0,57636Q,57636Q10
12659.0,093671,09367110
1365790.0,35645F,35645F10
903127.0,737464,73746410
1350487.0,97717W,97717W84
1342126.0,61748W,61748W10
1092458.0,896882,89688210
86144.0,786514,78651420
1002047.0,64120L,64120L10
1100663.0,464288,46428865
91388.0,832248,83224810
866829.0,42330P,42330P10
896878.0,461202,46120210
1100389.0,696643,69664310
832101.0,45167R,45167R10
729922.0,671040,67104010
1289340.0,85916J,85916J10
877357.0,817315,81731510
1106942.0,091935,09193550
907562.0,26746E,26746E10
916365.0,892356,89235610
1169561.0,204166,20416610
1324518.0,96950F,96950F10
1104188.0,83408W,83408W10
1292470.0,65411N,65411N10
1137789.0,G7945J,G7945J10
834208.0,63936L,63936L10
893816.0,45664X,45664X10
836157.0,535555,53555510
714603.0,233326,23332610
1046568.0,141665,14166510
78128.0,03836W,03836W10
831967.0,49460W,49460W20
6281.0,032654,03265410
891103.0,44919P,44919P30
915840.0,07556Q,07556Q10
808461.0,369385,36938510
24545.0,60871R,60871R20
84129.0,767754,76775410
1071806.0,03839G,03839G10
74208.0,910197,91019710
91142.0,831865,83186520
1339553.0,42224N,42224N10
1082554.0,91307C,91307C10
1125816.0,33734J,33734J10
1120193.0,631103,63110310
1324404.0,125269,12526910
12978.0,67622P,67622P10
701345.0,90341W,90341W10
790703.0,878237,87823710
1172139.0,06846N,06846N10
73756.0,675232,67523210
730263.0,885160,88516010
874691.0,67104A,67104A10
1009626.0,111621,11162130
8858.0,053807,05380710
852426.0,69366Y,69366Y10
1124887.0,156779,15677910
1076481.0,817337,81733710
1009304.0,465754,46575420
100493.0,902494,90249410
2135.0,008190,00819010
1325228.0,18418N,18418N10
314132.0,339099,33909910
43300.0,390064,39006410
1041457.0,29879R,29879R20
935066.0,822809,82280910
1108109.0,203668,20366810
1381531.0,257559,25755910
1062195.0,901314,90131420
1028205.0,09059N,09059N10
3570.0,16411R,16411R20
846930.0,266233,26623310
930667.0,464286,46428670
883293.0,918866,91886610
1100270.0,501014,50101410
38074.0,345838,34583810
919745.0,730694,73069410
45599.0,412693,41269310
745308.0,790148,79014810
1141103.0,227483,22748310
936395.0,171779,17177930
883587.0,055472,05547210
1364089.0,18383M,18383M72
899923.0,62855J,62855J10
1270400.0,92769L,92769L10
101063.0,170032,17003280
1091973.0,86722Q,86722Q20
91576.0,493267,49326710
85961.0,783549,78354910
790051.0,142339,14233910
920760.0,526057,52605710
1100663.0,282308,282308
931148.0,384313,38431310
1064642.0,240320,240320
1283552.0,468202,46820210
1056087.0,579489,57948910
1107112.0,290787,29078710
1311370.0,G54050,G5405010
911177.0,147448,14744810
1325460.0,00211E,00211E10
933730.0,57383T,57383T10
355811.0,371901,37190110
764065.0,185896,18589610
804212.0,009363,00936310
864328.0,055482,05548210
1287750.0,04010L,04010L10
1356949.0,44244k,44244k10
884887.0,V7780T,V7780T10
929887.0,037604,03760410
1089695.0,40050B,40050B10
1045609.0,00163T,00163T10
915912.0,053484,05348410
9389.0,058498,05849810
859360.0,524651,52465110
835541.0,834182,83418210
1013794.0,039793,03979310
203527.0,92220P,92220P10
4164.0,020825,02082510
1065837.0,830566,83056610
941552.0,049164,04916410
945841.0,784028,78402810
1062047.0,212485,21248510
317093.0,034425,03442510
1168696.0,758766,75876610
1102541.0,270321,27032110
1003929.0,218139,21813920
749251.0,366651,36665110
1094005.0,G81477,G8147710
1096325.0,46069S,46069S10
88941.0,816850,81685010
794170.0,889478,88947810
883984.0,44930G,44930G10
1043946.0,92532L,92532L20
823094.0,835898,83589810
813672.0,127387,12738710
24741.0,219350,21935010
878088.0,717125,71712510
716006.0,985509,98550910
916540.0,237266,23726610
26780.0,235811,23581110
912926.0,36150A,36150A10
40211.0,361448,36144810
718937.0,852312,85231230
885639.0,500255,50025510
63276.0,577081,57708110
1013934.0,863236,86323610
1060736.0,812578,81257810
860731.0,902252,90225210
203077.0,790849,79084910
1084827.0,64115P,64115P10
1013606.0,29266S,29266S10
801128.0,055446,05544610
790023.0,693758,69375840
1085707.0,65333F,65333F10
813920.0,125137,12513710
106640.0,963320,96332010
230498.0,772739,77273920
1005757.0,126349,12634910
897723.0,800907,80090710
95552.0,868168,86816810
1214816.0,G0692U,G0692U10
726514.0,285229,28522910
914142.0,375908,37590810
913949.0,556100,55610010
10427.0,071707,07170710
61986.0,563571,56357110
1087432.0,45884X,45884X10
1085734.0,093679,09367910
842662.0,986670,98667010
1066605.0,422819,42281910
37651.0,341140,34114010
866729.0,807066,80706610
5513.0,91529Y,91529Y10
18255.0,149205,14920510
898805.0,00754A,00754A10
914025.0,727493,72749310
1095357.0,302125,30212510
885725.0,101137,10113710
1065280.0,64110L,64110L10
918958.0,225756,22575610
46080.0,418056,41805610
1174922.0,983134,98313410
1006030.0,037937,03793720
822818.0,184496,18449610
1032208.0,816851,81685110
805037.0,59523C,59523C10
1017958.0,749938,74993810
882235.0,532791,53279110
1054374.0,111320,11132010
1008830.0,25822C,25822C20
1021162.0,896818,89681810
1060736.0,L871E1,L871E1
878748.0,731738,73173810
930548.0,75621K,75621K10
1009626.0,111621,11162110
879796.0,001930,00193010
1040441.0,087851,08785130
859368.0,584690,58469030
79958.0,740189,74018910
1032174.0,163072,16307210
74303.0,680665,68066520
929940.0,045327,04532710
801351.0,934390,93439040
711404.0,216648,21664840
78066.0,717265,71726510
104599.0,172737,17273710
895655.0,471109,47110910
356080.0,117037,11703700
1011174.0,05564E,05564E10
77182.0,708160,70816010
911109.0,60740F,60740F10
906163.0,62944T,62944T10
1095330.0,87155S,87155S10
33073.0,92831R,92831R20
1241199.0,14055X,14055X10
1072342.0,247126,24712610
